TSA,tsa_id,bioproject,biosample,sex,stage,tissue
GCWQ00000000.1,GCWQ,PRJNA272237,SAMN03341951,male,None,None
GCWW00000000.1,GCWW,PRJNA272232,SAMN03341946,None,None,whole organism
GCWW00000000.1,GCWW,PRJNA272232,SAMN03341946,None,adult,None
GCWW00000000.1,GCWW,PRJNA272232,SAMN03341946,missing,None,None
GCWD00000000.1,GCWD,PRJNA272225,SAMN03341937,None,None,whole organism
GCWD00000000.1,GCWD,PRJNA272225,SAMN03341937,None,adult,None
GCWD00000000.1,GCWD,PRJNA272225,SAMN03341937,missing,None,None
GCWC00000000.1,GCWC,PRJNA272221,SAMN03341934,None,None,whole organism
GCWC00000000.1,GCWC,PRJNA272221,SAMN03341934,None,adult,None
GCWC00000000.1,GCWC,PRJNA272221,SAMN03341934,missing,None,None
GCWB00000000.1,GCWB,PRJNA272233,SAMN03341947,None,None,whole organism
GCWB00000000.1,GCWB,PRJNA272233,SAMN03341947,None,adult,None
GCWB00000000.1,GCWB,PRJNA272233,SAMN03341947,missing,None,None
GCVU00000000.1,GCVU,PRJNA272231,SAMN03341945,None,None,whole organism
GCVU00000000.1,GCVU,PRJNA272231,SAMN03341945,None,adult,None
GCVU00000000.1,GCVU,PRJNA272231,SAMN03341945,missing,None,None
GCWS00000000.1,GCWS,PRJNA272227,SAMN03341939,None,None,whole organism
GCWS00000000.1,GCWS,PRJNA272227,SAMN03341939,None,adult,None
GCWS00000000.1,GCWS,PRJNA272227,SAMN03341939,missing,None,None
GCXE00000000.1,GCXE,PRJNA272223,SAMN03341936,None,None,whole organism
GCXE00000000.1,GCXE,PRJNA272223,SAMN03341936,None,adult,None
GCXE00000000.1,GCXE,PRJNA272223,SAMN03341936,missing,None,None
GCWE00000000.1,GCWE,PRJNA272219,SAMN03341932,None,None,whole organism
GCWE00000000.1,GCWE,PRJNA272219,SAMN03341932,None,adult,None
GCWE00000000.1,GCWE,PRJNA272219,SAMN03341932,missing,None,None
GCWA00000000.1,GCWA,PRJNA272218,SAMN03341931,None,None,whole organism
GCWA00000000.1,GCWA,PRJNA272218,SAMN03341931,None,adult,None
GCWA00000000.1,GCWA,PRJNA272218,SAMN03341931,missing,None,None
GCWO00000000.1,GCWO,PRJNA272217,SAMN03341930,None,None,whole organism
GCWO00000000.1,GCWO,PRJNA272217,SAMN03341930,None,adult,None
GCWO00000000.1,GCWO,PRJNA272217,SAMN03341930,missing,None,None
GCVZ00000000.1,GCVZ,PRJNA272214,SAMN03341927,None,None,whole organism
GCVZ00000000.1,GCVZ,PRJNA272214,SAMN03341927,None,adult,None
GCVZ00000000.1,GCVZ,PRJNA272214,SAMN03341927,missing,None,None
GCXJ00000000.1,GCXJ,PRJNA272212,SAMN03341925,None,None,whole organism
GCXJ00000000.1,GCXJ,PRJNA272212,SAMN03341925,None,adult,None
GCXJ00000000.1,GCXJ,PRJNA272212,SAMN03341925,missing,None,None
GCWU00000000.1,GCWU,PRJNA272211,SAMN03341924,None,None,whole organism
GCWU00000000.1,GCWU,PRJNA272211,SAMN03341924,None,adult,None
GCWU00000000.1,GCWU,PRJNA272211,SAMN03341924,missing,None,None
GDEM00000000.1,GDEM,PRJNA272209,SAMN03331996,None,None,whole organism
GDEM00000000.1,GDEM,PRJNA272209,SAMN03331996,None,adult,None
GDEM00000000.1,GDEM,PRJNA272209,SAMN03331996,missing,None,None
GDFP00000000.1,GDFP,PRJNA272182,SAMN03331969,None,None,whole organism
GDFP00000000.1,GDFP,PRJNA272182,SAMN03331969,None,missing,None
GDFP00000000.1,GDFP,PRJNA272182,SAMN03331969,missing,None,None
GDFL00000000.1,GDFL,PRJNA272179,SAMN03331966,None,None,whole organism
GDFL00000000.1,GDFL,PRJNA272179,SAMN03331966,None,adult,None
GDFL00000000.1,GDFL,PRJNA272179,SAMN03331966,missing,None,None
GDFN00000000.1,GDFN,PRJNA272175,SAMN03331962,None,None,whole organism
GDFN00000000.1,GDFN,PRJNA272175,SAMN03331962,None,adult,None
GDFN00000000.1,GDFN,PRJNA272175,SAMN03331962,missing,None,None
GDFO00000000.1,GDFO,PRJNA272163,SAMN03331950,None,None,whole organism
GDFO00000000.1,GDFO,PRJNA272163,SAMN03331950,None,adult,None
GDFO00000000.1,GDFO,PRJNA272163,SAMN03331950,missing,None,None
GDFC00000000.1,GDFC,PRJNA272199,SAMN03331986,None,None,whole organism
GDFC00000000.1,GDFC,PRJNA272199,SAMN03331986,None,adult,None
GDFC00000000.1,GDFC,PRJNA272199,SAMN03331986,missing,None,None
GDFI00000000.1,GDFI,PRJNA272203,SAMN03331990,None,None,whole organism
GDFI00000000.1,GDFI,PRJNA272203,SAMN03331990,None,missing,None
GDFI00000000.1,GDFI,PRJNA272203,SAMN03331990,missing,None,None
GDFA00000000.1,GDFA,PRJNA272197,SAMN03331984,None,None,whole organism
GDFA00000000.1,GDFA,PRJNA272197,SAMN03331984,None,mixed,None
GDFA00000000.1,GDFA,PRJNA272197,SAMN03331984,missing,None,None
GDFF00000000.1,GDFF,PRJNA272169,SAMN03331956,None,None,whole organism
GDFF00000000.1,GDFF,PRJNA272169,SAMN03331956,None,adult,None
GDFF00000000.1,GDFF,PRJNA272169,SAMN03331956,missing,None,None
GDFJ00000000.1,GDFJ,PRJNA272193,SAMN03331980,None,None,whole organism
GDFJ00000000.1,GDFJ,PRJNA272193,SAMN03331980,None,adult,None
GDFJ00000000.1,GDFJ,PRJNA272193,SAMN03331980,missing,None,None
GDFM00000000.1,GDFM,PRJNA272181,SAMN03331968,None,None,whole organism
GDFM00000000.1,GDFM,PRJNA272181,SAMN03331968,None,adult,None
GDFM00000000.1,GDFM,PRJNA272181,SAMN03331968,missing,None,None
GDEZ00000000.1,GDEZ,PRJNA272165,SAMN03331952,None,None,whole organism
GDEZ00000000.1,GDEZ,PRJNA272165,SAMN03331952,None,adult,None
GDEZ00000000.1,GDEZ,PRJNA272165,SAMN03331952,missing,None,None
GDFE00000000.1,GDFE,PRJNA272168,SAMN03331955,None,None,whole organism
GDFE00000000.1,GDFE,PRJNA272168,SAMN03331955,None,adult,None
GDFE00000000.1,GDFE,PRJNA272168,SAMN03331955,male,None,None
GDFH00000000.1,GDFH,PRJNA272198,SAMN03331985,None,None,whole organism
GDFH00000000.1,GDFH,PRJNA272198,SAMN03331985,None,adult,None
GDFH00000000.1,GDFH,PRJNA272198,SAMN03331985,missing,None,None
GDFG00000000.1,GDFG,PRJNA272166,SAMN03331953,None,None,whole organism
GDFG00000000.1,GDFG,PRJNA272166,SAMN03331953,None,adult,None
GDFG00000000.1,GDFG,PRJNA272166,SAMN03331953,missing,None,None
GDEV00000000.1,GDEV,PRJNA272192,SAMN03331979,None,None,whole organism
GDEV00000000.1,GDEV,PRJNA272192,SAMN03331979,None,adult,None
GDEV00000000.1,GDEV,PRJNA272192,SAMN03331979,missing,None,None
GDDU00000000.1,GDDU,PRJNA272201,SAMN03331988,None,None,whole organism
GDDU00000000.1,GDDU,PRJNA272201,SAMN03331988,None,adult,None
GDDU00000000.1,GDDU,PRJNA272201,SAMN03331988,missing,None,None
GDDT00000000.1,GDDT,PRJNA272196,SAMN03331983,None,None,whole organism
GDDT00000000.1,GDDT,PRJNA272196,SAMN03331983,None,adult,None
GDDT00000000.1,GDDT,PRJNA272196,SAMN03331983,missing,None,None
GDEU00000000.1,GDEU,PRJNA272187,SAMN03331974,None,None,whole organism
GDEU00000000.1,GDEU,PRJNA272187,SAMN03331974,None,adult,None
GDEU00000000.1,GDEU,PRJNA272187,SAMN03331974,missing,None,None
GDEY00000000.1,GDEY,PRJNA272159,SAMN03331946,None,None,whole organism
GDEY00000000.1,GDEY,PRJNA272159,SAMN03331946,None,nymph,None
GDEY00000000.1,GDEY,PRJNA272159,SAMN03331946,missing,None,None
GDET00000000.1,GDET,PRJNA272167,SAMN03331954,None,None,whole organism
GDET00000000.1,GDET,PRJNA272167,SAMN03331954,None,adult,None
GDET00000000.1,GDET,PRJNA272167,SAMN03331954,female,None,None
GDDS00000000.1,GDDS,PRJNA272205,SAMN03331992,None,None,whole organism
GDDS00000000.1,GDDS,PRJNA272205,SAMN03331992,None,adult,None
GDDS00000000.1,GDDS,PRJNA272205,SAMN03331992,female,None,None
GDES00000000.1,GDES,PRJNA272202,SAMN03331989,None,None,whole organism
GDES00000000.1,GDES,PRJNA272202,SAMN03331989,None,adult,None
GDES00000000.1,GDES,PRJNA272202,SAMN03331989,missing,None,None
GDEQ00000000.1,GDEQ,PRJNA272161,SAMN03331948,None,None,whole organism
GDEQ00000000.1,GDEQ,PRJNA272161,SAMN03331948,None,adult,None
GDEQ00000000.1,GDEQ,PRJNA272161,SAMN03331948,missing,None,None
GDER00000000.1,GDER,PRJNA272204,SAMN03331991,None,None,whole organism
GDER00000000.1,GDER,PRJNA272204,SAMN03331991,None,adult,None
GDER00000000.1,GDER,PRJNA272204,SAMN03331991,missing,None,None
GDEP00000000.1,GDEP,PRJNA272176,SAMN03331963,None,None,whole organism
GDEP00000000.1,GDEP,PRJNA272176,SAMN03331963,None,adult,None
GDEP00000000.1,GDEP,PRJNA272176,SAMN03331963,missing,None,None
GDEX00000000.1,GDEX,PRJNA272206,SAMN03331993,None,None,whole organism
GDEX00000000.1,GDEX,PRJNA272206,SAMN03331993,None,adult,None
GDEX00000000.1,GDEX,PRJNA272206,SAMN03331993,missing,None,None
GDEW00000000.1,GDEW,PRJNA272189,SAMN03331976,None,None,whole organism
GDEW00000000.1,GDEW,PRJNA272189,SAMN03331976,None,missing,None
GDEW00000000.1,GDEW,PRJNA272189,SAMN03331976,missing,None,None
GDDR00000000.1,GDDR,PRJNA272172,SAMN03331959,None,None,whole organism
GDDR00000000.1,GDDR,PRJNA272172,SAMN03331959,None,adult,None
GDDR00000000.1,GDDR,PRJNA272172,SAMN03331959,missing,None,None
GDFD00000000.1,GDFD,PRJNA272164,SAMN03331951,None,None,whole organism
GDFD00000000.1,GDFD,PRJNA272164,SAMN03331951,None,missing,None
GDFD00000000.1,GDFD,PRJNA272164,SAMN03331951,missing,None,None
GDEO00000000.1,GDEO,PRJNA272207,SAMN03331994,None,None,whole organism
GDEO00000000.1,GDEO,PRJNA272207,SAMN03331994,None,adult,None
GDEO00000000.1,GDEO,PRJNA272207,SAMN03331994,missing,None,None
GDEN00000000.1,GDEN,PRJNA272162,SAMN03331949,None,None,whole organism
GDEN00000000.1,GDEN,PRJNA272162,SAMN03331949,None,adult,None
GDEN00000000.1,GDEN,PRJNA272162,SAMN03331949,missing,None,None
GDEK00000000.1,GDEK,PRJNA272171,SAMN03331958,None,None,whole organism
GDEK00000000.1,GDEK,PRJNA272171,SAMN03331958,None,missing,None
GDEK00000000.1,GDEK,PRJNA272171,SAMN03331958,missing,None,None
GDED00000000.1,GDED,PRJNA272177,SAMN03331964,None,None,whole organism
GDED00000000.1,GDED,PRJNA272177,SAMN03331964,None,missing,None
GDED00000000.1,GDED,PRJNA272177,SAMN03331964,missing,None,None
GDEI00000000.1,GDEI,PRJNA272185,SAMN03331972,None,None,whole organism
GDEI00000000.1,GDEI,PRJNA272185,SAMN03331972,None,missing,None
GDEI00000000.1,GDEI,PRJNA272185,SAMN03331972,missing,None,None
GDEG00000000.1,GDEG,PRJNA272188,SAMN03331975,None,None,whole organism
GDEG00000000.1,GDEG,PRJNA272188,SAMN03331975,None,adult,None
GDEG00000000.1,GDEG,PRJNA272188,SAMN03331975,missing,None,None
GDEH00000000.1,GDEH,PRJNA272200,SAMN03331987,None,None,whole organism
GDEH00000000.1,GDEH,PRJNA272200,SAMN03331987,None,adult,None
GDEH00000000.1,GDEH,PRJNA272200,SAMN03331987,missing,None,None
GDEA00000000.1,GDEA,PRJNA272170,SAMN03331957,None,None,whole organism
GDEA00000000.1,GDEA,PRJNA272170,SAMN03331957,None,adult,None
GDEA00000000.1,GDEA,PRJNA272170,SAMN03331957,female,None,None
GDEB00000000.1,GDEB,PRJNA272174,SAMN03331961,None,None,whole organism
GDEB00000000.1,GDEB,PRJNA272174,SAMN03331961,None,adult,None
GDEB00000000.1,GDEB,PRJNA272174,SAMN03331961,missing,None,None
GDDZ00000000.1,GDDZ,PRJNA272186,SAMN03331973,None,None,whole organism
GDDZ00000000.1,GDDZ,PRJNA272186,SAMN03331973,None,adult,None
GDDZ00000000.1,GDDZ,PRJNA272186,SAMN03331973,missing,None,None
GDFK00000000.1,GDFK,PRJNA272180,SAMN03331967,None,None,whole organism
GDFK00000000.1,GDFK,PRJNA272180,SAMN03331967,None,adult,None
GDFK00000000.1,GDFK,PRJNA272180,SAMN03331967,missing,None,None
GDFB00000000.1,GDFB,PRJNA272208,SAMN03331995,None,None,whole organism
GDFB00000000.1,GDFB,PRJNA272208,SAMN03331995,None,adult,None
GDFB00000000.1,GDFB,PRJNA272208,SAMN03331995,missing,None,None
GDEJ00000000.1,GDEJ,PRJNA272178,SAMN03331965,None,None,whole organism
GDEJ00000000.1,GDEJ,PRJNA272178,SAMN03331965,None,missing,None
GDEJ00000000.1,GDEJ,PRJNA272178,SAMN03331965,missing,None,None
GDEL00000000.1,GDEL,PRJNA272191,SAMN03331978,None,None,whole organism
GDEL00000000.1,GDEL,PRJNA272191,SAMN03331978,None,adult,None
GDEL00000000.1,GDEL,PRJNA272191,SAMN03331978,missing,None,None
GDDY00000000.1,GDDY,PRJNA272184,SAMN03331971,None,None,whole organism
GDDY00000000.1,GDDY,PRJNA272184,SAMN03331971,None,adult,None
GDDY00000000.1,GDDY,PRJNA272184,SAMN03331971,missing,None,None
GDDQ00000000.1,GDDQ,PRJNA272194,SAMN03331981,None,None,whole organism
GDDQ00000000.1,GDDQ,PRJNA272194,SAMN03331981,None,adult,None
GDDQ00000000.1,GDDQ,PRJNA272194,SAMN03331981,missing,None,None
GDDX00000000.1,GDDX,PRJNA272160,SAMN03331947,None,None,whole organism
GDDX00000000.1,GDDX,PRJNA272160,SAMN03331947,None,adult,None
GDDX00000000.1,GDDX,PRJNA272160,SAMN03331947,missing,None,None
GDDW00000000.1,GDDW,PRJNA272173,SAMN03331960,None,None,whole organism
GDDW00000000.1,GDDW,PRJNA272173,SAMN03331960,None,adult,None
GDDW00000000.1,GDDW,PRJNA272173,SAMN03331960,missing,None,None
GDEF00000000.1,GDEF,PRJNA272183,SAMN03331970,None,None,whole organism
GDEF00000000.1,GDEF,PRJNA272183,SAMN03331970,None,adult,None
GDEF00000000.1,GDEF,PRJNA272183,SAMN03331970,missing,None,None
GAYV00000000.2,GAYV,PRJNA219573,SAMN02047187,None,None,None
GAWQ00000000.2,GAWQ,PRJNA219585,SAMN02047193,None,None,None
GASV00000000.2,GASV,PRJNA219583,SAMN02047151,None,adult,None
GATV00000000.2,GATV,PRJNA219591,SAMN02047115,female,None,None
GATV00000000.2,GATV,PRJNA219591,SAMN02047115,None,adult,None
GAYF00000000.2,GAYF,PRJNA219582,SAMN02047185,None,None,None
GAUJ00000000.2,GAUJ,PRJNA219586,SAMN02047118,None,adult,None
GAYC00000000.2,GAYC,PRJNA219587,SAMN02047166,None,adult,None
GATB00000000.2,GATB,PRJNA219580,SAMN02047174,female,None,None
GATB00000000.2,GATB,PRJNA219580,SAMN02047174,None,juvenil,None
GAUF00000000.2,GAUF,PRJNA219571,SAMN02047153,None,adult,None
GAWR00000000.2,GAWR,PRJNA219579,SAMN02047141,None,None,None
GASW00000000.2,GASW,PRJNA219575,SAMN02047157,None,adult,None
GAXF00000000.2,GAXF,PRJNA219593,SAMN02047127,None,None,None
GAWJ00000000.2,GAWJ,PRJNA219592,SAMN02047114,None,adult,None
GAYZ00000000.2,GAYZ,PRJNA219599,SAMN02047138,None,None,None
GAWX00000000.2,GAWX,PRJNA219611,SAMN02047126,None,adult,None
GAVX00000000.2,GAVX,PRJNA219610,SAMN02047191,None,None,None
GAXB00000000.2,GAXB,PRJNA219604,SAMN02047176,male,None,None
GAXC00000000.2,GAXC,PRJNA219609,SAMN02047112,female,None,None
GAXC00000000.2,GAXC,PRJNA219609,SAMN02047112,None,adult,None
GASQ00000000.2,GASQ,PRJNA219606,SAMN02047150,None,adult,None
GAWW00000000.2,GAWW,PRJNA219605,SAMN02047159,None,adult,None
GAYI00000000.2,GAYI,PRJNA219618,SAMN02047181,None,adult,None
GAUI00000000.2,GAUI,PRJNA219617,SAMN02047106,female,None,None
GAUI00000000.2,GAUI,PRJNA219617,SAMN02047106,None,adult,None
GAUO00000000.2,GAUO,PRJNA219616,SAMN02047131,None,adult,None
GAXG00000000.2,GAXG,PRJNA219563,SAMN02047111,female,None,None
GAXG00000000.2,GAXG,PRJNA219563,SAMN02047111,None,adult,None
GAZH00000000.2,GAZH,PRJNA219567,SAMN02047103,None,larva,None
GAUY00000000.2,GAUY,PRJNA219564,SAMN02047132,None,None,None
GAWZ00000000.2,GAWZ,PRJNA219562,SAMN02047167,None,None,None
GAWN00000000.2,GAWN,PRJNA219560,SAMN02047172,None,None,None
GAYA00000000.2,GAYA,PRJNA219620,SAMN02047173,None,None,None
GAZF00000000.2,GAZF,PRJNA219554,SAMN02047099,None,None,None
GAYQ00000000.2,GAYQ,PRJNA219558,SAMN02047143,None,None,None
GAPT00000000.2,GAPT,PRJNA219550,SAMN01801569,None,None,None
GAZG00000000.2,GAZG,PRJNA219556,SAMN02047200,None,None,None
GAXW00000000.2,GAXW,PRJNA219555,SAMN02047165,None,adult,None
GAYE00000000.2,GAYE,PRJNA219559,SAMN02047110,female,None,None
GAYE00000000.2,GAYE,PRJNA219559,SAMN02047110,None,adult,None
GAVW00000000.2,GAVW,PRJNA219553,SAMN02047171,male,None,None
GAVW00000000.2,GAVW,PRJNA219553,SAMN02047171,None,adult,None
GATG00000000.2,GATG,PRJNA219543,SAMN02047201,None,None,None
GAUN00000000.2,GAUN,PRJNA219537,SAMN02047155,None,adult,None
GAZN00000000.2,GAZN,PRJNA219546,SAMN02047199,None,None,None
GAYO00000000.2,GAYO,PRJNA219542,SAMN02047156,male,None,None
GAYO00000000.2,GAYO,PRJNA219542,SAMN02047156,None,adult,None
GAYD00000000.2,GAYD,PRJNA219531,SAMN02047121,male,None,None
GAYM00000000.2,GAYM,PRJNA219534,SAMN02047184,None,adult,None
GATU00000000.2,GATU,PRJNA219528,SAMN02047149,None,adult,None
GAWU00000000.2,GAWU,PRJNA219525,SAMN02047170,None,None,None
GAUW00000000.2,GAUW,PRJNA219524,SAMN02047175,female,None,None
GAUV00000000.2,GAUV,PRJNA219520,SAMN02047154,None,adult,None
GATW00000000.2,GATW,PRJNA219522,SAMN02047128,None,adult,None
GAYY00000000.2,GAYY,PRJNA219519,SAMN02047100,None,None,None
GCYV00000000.1,GCYV,PRJNA272295,SAMN03342009,None,None,whole organism
GCYV00000000.1,GCYV,PRJNA272295,SAMN03342009,None,adult,None
GCYV00000000.1,GCYV,PRJNA272295,SAMN03342009,female,None,None
GFUX00000000.1,GFUX,PRJNA393960,SAMN07345557,None,None,whole insect
GFUX00000000.1,GFUX,PRJNA393960,SAMN07345557,None,4th instar larvae,None
GFUX00000000.1,GFUX,PRJNA393960,SAMN07345558,None,None,whole insect
GFUX00000000.1,GFUX,PRJNA393960,SAMN07345558,None,white pupae,None
GFNN00000000.1,GFNN,PRJNA382571,SAMN06710513,None,None,integument
GFWI00000000.1,GFWI,PRJNA347580,SAMN05892035,None,None,malpighian tubules
GFWI00000000.1,GFWI,PRJNA347580,SAMN05892044,None,None,malpighian tubules
GFWI00000000.1,GFWI,PRJNA347580,SAMN05892050,None,None,malpighian tubules
GFWI00000000.1,GFWI,PRJNA347580,SAMN05892057,None,None,malpighian tubules
GFWI00000000.1,GFWI,PRJNA347580,SAMN05892086,None,None,malpighian tubules
GFWI00000000.1,GFWI,PRJNA347580,SAMN05892091,None,None,malpighian tubules
GGEP00000000.1,GGEP,PRJNA417222,SAMN07981103,None,None,not applicable
GGEP00000000.1,GGEP,PRJNA417222,SAMN07981104,None,None,not applicable
GGHC00000000.1,GGHC,PRJNA433892,SAMN08465137,None,None,whole insect
GGHH00000000.1,GGHH,PRJNA433892,SAMN08465149,None,None,whole insect
GGHE00000000.1,GGHE,PRJNA433892,SAMN08465139,None,None,whole insect
GGHN00000000.1,GGHN,PRJNA433892,SAMN08465138,None,None,whole insect
GGHB00000000.1,GGHB,PRJNA433892,SAMN08465135,None,None,whole insect
GGHV00000000.1,GGHV,PRJNA433892,SAMN08465150,None,None,whole insect
GGHU00000000.1,GGHU,PRJNA433892,SAMN08465148,None,None,whole insect
GGHT00000000.1,GGHT,PRJNA433892,SAMN08465147,None,None,whole insect
GGHS00000000.1,GGHS,PRJNA433892,SAMN08465146,None,None,whole insect
GGHR00000000.1,GGHR,PRJNA433892,SAMN08465145,None,None,whole insect
GGHQ00000000.1,GGHQ,PRJNA433892,SAMN08465144,None,None,whole insect
GGHP00000000.1,GGHP,PRJNA433892,SAMN08465143,None,None,whole insect
GGHG00000000.1,GGHG,PRJNA433892,SAMN08465142,None,None,whole insect
GGHF00000000.1,GGHF,PRJNA433892,SAMN08465141,None,None,whole insect
GGHO00000000.1,GGHO,PRJNA433892,SAMN08465140,None,None,whole insect
GGHD00000000.1,GGHD,PRJNA433892,SAMN08465136,None,None,whole insect
GGGY00000000.1,GGGY,PRJNA433892,SAMN08465134,None,None,whole insect
GGGW00000000.1,GGGW,PRJNA433892,SAMN08465133,None,None,whole insect
GGJZ00000000.1,GGJZ,PRJNA437326,SAMN08649130,None,None,egg & larvae
GGKC00000000.1,GGKC,PRJNA437326,SAMN08649132,None,None,egg & larvae
GGJY00000000.1,GGJY,PRJNA437326,SAMN08649129,None,None,egg & larvae
GGKB00000000.1,GGKB,PRJNA437326,SAMN08649131,None,None,egg & larvae
GGFB00000000.1,GGFB,PRJNA429662,SAMN08357529,None,None,whole cricket
GGFB00000000.1,GGFB,PRJNA429662,SAMN08357529,None,adult + juvenile pooled,None
GGFB00000000.1,GGFB,PRJNA429662,SAMN08357529,male,None,None
GGFB00000000.1,GGFB,PRJNA429662,SAMN08357530,None,None,whole cricket
GGFB00000000.1,GGFB,PRJNA429662,SAMN08357530,None,adult + juvenile pooled,None
GGFB00000000.1,GGFB,PRJNA429662,SAMN08357530,female,None,None
IADJ00000000.1,IADJ,PRJDB6456,SAMD00097921,male,None,None
IADJ00000000.1,IADJ,PRJDB6456,SAMD00097921,None,None,head horn
IADJ00000000.1,IADJ,PRJDB6456,SAMD00097922,male,None,None
IADJ00000000.1,IADJ,PRJDB6456,SAMD00097922,None,None,head horn
IADJ00000000.1,IADJ,PRJDB6456,SAMD00097923,male,None,None
IADJ00000000.1,IADJ,PRJDB6456,SAMD00097923,None,None,head horn
IADJ00000000.1,IADJ,PRJDB6456,SAMD00097924,male,None,None
IADJ00000000.1,IADJ,PRJDB6456,SAMD00097924,None,None,thorax horn
IADJ00000000.1,IADJ,PRJDB6456,SAMD00097925,male,None,None
IADJ00000000.1,IADJ,PRJDB6456,SAMD00097925,None,None,thorax horn
IADJ00000000.1,IADJ,PRJDB6456,SAMD00097926,male,None,None
IADJ00000000.1,IADJ,PRJDB6456,SAMD00097926,None,None,thorax horn
IADJ00000000.1,IADJ,PRJDB6456,SAMD00097927,female,None,None
IADJ00000000.1,IADJ,PRJDB6456,SAMD00097927,None,None,head horn
IADJ00000000.1,IADJ,PRJDB6456,SAMD00097928,female,None,None
IADJ00000000.1,IADJ,PRJDB6456,SAMD00097928,None,None,head horn
IADJ00000000.1,IADJ,PRJDB6456,SAMD00097929,female,None,None
IADJ00000000.1,IADJ,PRJDB6456,SAMD00097929,None,None,head horn
IADJ00000000.1,IADJ,PRJDB6456,SAMD00097930,female,None,None
IADJ00000000.1,IADJ,PRJDB6456,SAMD00097930,None,None,thorax horn
IADJ00000000.1,IADJ,PRJDB6456,SAMD00097931,female,None,None
IADJ00000000.1,IADJ,PRJDB6456,SAMD00097931,None,None,thorax horn
IADJ00000000.1,IADJ,PRJDB6456,SAMD00097932,female,None,None
IADJ00000000.1,IADJ,PRJDB6456,SAMD00097932,None,None,thorax horn
GGSD00000000.1,GGSD,PRJNA479659,SAMN09598188,None,None,fat body
GGSD00000000.1,GGSD,PRJNA479659,SAMN09598189,None,None,fat body
GGSD00000000.1,GGSD,PRJNA479659,SAMN09598190,None,None,fat body
GGSD00000000.1,GGSD,PRJNA479659,SAMN09598191,None,None,fat body
GGSD00000000.1,GGSD,PRJNA479659,SAMN09598192,None,None,fat body
GGSD00000000.1,GGSD,PRJNA479659,SAMN09598193,None,None,fat body
GGSD00000000.1,GGSD,PRJNA479659,SAMN09598194,None,None,fat body
GGSD00000000.1,GGSD,PRJNA479659,SAMN09598195,None,None,fat body
GGSD00000000.1,GGSD,PRJNA479659,SAMN09598196,None,None,fat body
GGSD00000000.1,GGSD,PRJNA479659,SAMN09598197,None,None,fat body
GGSD00000000.1,GGSD,PRJNA479659,SAMN09598198,None,None,fat body
GGSD00000000.1,GGSD,PRJNA479659,SAMN09598199,None,None,fat body
GGSD00000000.1,GGSD,PRJNA479659,SAMN09598200,None,None,fat body
GGSD00000000.1,GGSD,PRJNA479659,SAMN09598201,None,None,fat body
GGSD00000000.1,GGSD,PRJNA479659,SAMN09598202,None,None,fat body
GGSD00000000.1,GGSD,PRJNA479659,SAMN09598203,None,None,whole animal
GGLM00000000.1,GGLM,PRJNA429442,SAMN08355023,None,None,whole adult
GGLM00000000.1,GGLM,PRJNA429442,SAMN08355023,None,adult,None
GGLM00000000.1,GGLM,PRJNA429442,SAMN08355024,None,None,whole adult
GGLM00000000.1,GGLM,PRJNA429442,SAMN08355024,None,adult,None
GGLM00000000.1,GGLM,PRJNA429442,SAMN08355025,None,None,whole adult
GGLM00000000.1,GGLM,PRJNA429442,SAMN08355025,None,adult,None
GGLM00000000.1,GGLM,PRJNA429442,SAMN08355026,None,None,whole adult
GGLM00000000.1,GGLM,PRJNA429442,SAMN08355026,None,adult,None
GFNP00000000.1,GFNP,PRJNA385251,SAMN06920555,None,None,whole insect tissue
GFNP00000000.1,GFNP,PRJNA385251,SAMN06920555,None,larvae,None
GFNP00000000.1,GFNP,PRJNA385251,SAMN06920556,None,None,whole insect tissue
GFNP00000000.1,GFNP,PRJNA385251,SAMN06920556,None,larvae,None
GFNP00000000.1,GFNP,PRJNA385251,SAMN06920557,None,None,whole insect tissue
GFNP00000000.1,GFNP,PRJNA385251,SAMN06920557,None,larvae,None
GFNP00000000.1,GFNP,PRJNA385251,SAMN06920558,None,None,whole insect tissue
GFNP00000000.1,GFNP,PRJNA385251,SAMN06920558,None,larvae,None
GFNP00000000.1,GFNP,PRJNA385251,SAMN06920559,None,None,whole insect tissue
GFNP00000000.1,GFNP,PRJNA385251,SAMN06920559,None,larvae,None
GFNP00000000.1,GFNP,PRJNA385251,SAMN06920560,None,None,whole insect tissue
GFNP00000000.1,GFNP,PRJNA385251,SAMN06920560,None,larvae,None
GFNP00000000.1,GFNP,PRJNA385251,SAMN06920561,None,None,whole insect tissue
GFNP00000000.1,GFNP,PRJNA385251,SAMN06920561,None,larvae,None
GFNP00000000.1,GFNP,PRJNA385251,SAMN06920562,None,None,whole insect tissue
GFNP00000000.1,GFNP,PRJNA385251,SAMN06920562,None,larvae,None
GFNP00000000.1,GFNP,PRJNA385251,SAMN06920563,None,None,whole insect tissue
GFNP00000000.1,GFNP,PRJNA385251,SAMN06920563,None,larvae,None
GFNP00000000.1,GFNP,PRJNA385251,SAMN06920564,None,None,whole insect tissue
GFNP00000000.1,GFNP,PRJNA385251,SAMN06920564,None,larvae,None
GFNP00000000.1,GFNP,PRJNA385251,SAMN06920565,None,None,whole insect tissue
GFNP00000000.1,GFNP,PRJNA385251,SAMN06920565,None,larvae,None
GFNP00000000.1,GFNP,PRJNA385251,SAMN06920566,None,None,whole insect tissue
